ID,Category,Prompt,Intent,Solution,Severity,Response Type,Keywords
33,Crisis,I have pills in my hand and I want to take them.,crisis_overdose,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"i, have, pills, in"
34,Emotional Venting,This university system is completely broken!,vent_institutional,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"this, university, system, is"
35,Support Seeking,I'm having trouble focusing on my studies.,academic_focus,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i'm, having, trouble, focusing"
36,Informational,Where is the mental health clinic located?,query_location,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"where, is, the, mental"
37,Emotional Venting,I wish I could just disappear forever.,vent_escapism,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"i, wish, i, could"
38,Support Seeking,my heart beats really fast when I enter class.,physical_anxiety,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"my, heart, beats, really"
39,Crisis,Goodbye I can't do this anymore.,crisis_goodbye,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"goodbye, i, can't, do"
40,Support Seeking,I don't have anyone to eat lunch with.,social_isolation,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, don't, have, anyone"
41,Informational,Can stress cause physical pain?,query_symptoms,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"can, stress, cause, physical"
42,Emotional Venting,I worked so hard and still failed!,vent_failure,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"i, worked, so, hard"
43,Support Seeking,I feel paralyzed by all the work I have to do.,stress_paralysis,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, paralyzed, by"
44,Informational,How long does a counseling session last?,query_logistics,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"how, long, does, a"
45,Crisis,I'm driving really fast and I don't care what happens.,crisis_reckless,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"i'm, driving, really, fast"
46,Support Seeking,I keep crying for no reason today.,emotional_instability,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, keep, crying, for"
47,Emotional Venting,My parents never listen to a word I say.,vent_family,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"my, parents, never, listen"
48,Support Seeking,I feel nervous meeting new people.,social_anxiety,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, nervous, meeting"
49,Informational,What is Cognitive Behavioral Therapy?,query_treatment,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"what, is, cognitive, behavioral"
50,Crisis,Someone save me from my own thoughts.,crisis_plea,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"someone, save, me, from"
51,Support Seeking,I'm struggling to get out of bed in the morning.,depression_lethargy,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i'm, struggling, to, get"
52,Emotional Venting,I hate looking at myself in the mirror.,vent_self_image,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"i, hate, looking, at"
53,Informational,Do you have a hotline number for emergencies?,query_hotline,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"do, you, have, a"
54,Support Seeking,I'm afraid I'm going to disappoint everyone.,fear_failure,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i'm, afraid, i'm, going"
55,Crisis,I'm writing a note to my family right now.,crisis_planning,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"i'm, writing, a, note"
56,Emotional Venting,Why is everyone else happy except me?,vent_jealousy,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"why, is, everyone, else"
57,Support Seeking,I'm overwhelmed by the amount of reading I have to do.,stress_workload,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i'm, overwhelmed, by, the"
58,Informational,Can lack of sleep make me hallucinate?,query_symptoms,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"can, lack, of, sleep"
59,Support Seeking,I don't feel real like I'm in a dream.,dissociation,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, don't, feel, real"
60,Emotional Venting,Stop telling me to calm down!,vent_irritability,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"stop, telling, me, to"
61,Support Seeking,I have no motivation to do anything.,depression_apathy,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, have, no, motivation"
62,Informational,Is meditation good for anxiety?,query_coping,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"is, meditation, good, for"
63,Crisis,If I don't get help now I will die.,crisis_urgent,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"if, i, don't, get"
64,Emotional Venting,My roommate is making my life a living hell.,vent_living_situation,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"my, roommate, is, making"
65,Support Seeking,I'm scared I chose the wrong major.,career_anxiety,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i'm, scared, i, chose"
66,Informational,What do I do if a friend is suicidal?,query_intervention,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"what, do, i, do"
67,Support Seeking,I feel unsafe walking home alone at night.,fear_safety,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, unsafe, walking"
68,Emotional Venting,I am so sick of pretending to be okay.,vent_masking,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"i, am, so, sick"
69,Crisis,I am cutting myself again.,crisis_selfharm_relapse,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"i, am, cutting, myself"
70,Support Seeking,Can you recommend a way to sleep better?,insomnia_help,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"can, you, recommend, a"
71,Informational,Do you offer online therapy sessions?,query_service_type,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"do, you, offer, online"
72,Support Seeking,I feel guilty for eating too much.,eating_disorder,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, guilty, for"
73,Emotional Venting,Nobody cares about my problems.,vent_neglect,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"nobody, cares, about, my"
74,Crisis,I have a weapon and I'm scared.,crisis_weapon,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"i, have, a, weapon"
75,Support Seeking,I panic when the professor calls my name.,social_anxiety_class,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, panic, when, the"
76,Informational,What are the symptoms of bipolar disorder?,query_symptoms,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"what, are, the, symptoms"
77,Emotional Venting,I hate this city I want to go home.,vent_homesickness,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"i, hate, this, city"
78,Support Seeking,My hands shake whenever I have to write.,physical_anxiety,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"my, hands, shake, whenever"
79,Crisis,I'm going to take all these pills.,crisis_overdose_threat,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"i'm, going, to, take"
80,Support Seeking,I feel like a failure compared to my siblings.,comparison_envy,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, like, a"
81,Informational,How much does a private therapist cost?,query_cost_external,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"how, much, does, a"
82,Emotional Venting,Life is just one big disappointment.,vent_hopelessness,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"life, is, just, one"
83,Support Seeking,I'm worried my friends are talking behind my back.,paranoia_social,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i'm, worried, my, friends"
84,Crisis,I can't stop hearing voices telling me to hurt myself.,crisis_psychosis,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"i, can't, stop, hearing"
85,Support Seeking,I feel nauseous every morning before school.,anxiety_somatic,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, nauseous, every"
86,Informational,Is it possible to cure depression completely?,query_prognosis,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"is, it, possible, to"
87,Emotional Venting,Why can't I just be normal like everyone else?,vent_self_hatred,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"why, can't, i, just"
88,Support Seeking,I need advice on how to break up with someone.,relationship_advice,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, need, advice, on"
89,Crisis,I am standing on the bridge right now.,crisis_location_specific,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"i, am, standing, on"
90,Support Seeking,I'm afraid of being alone in my room.,phobia_isolation,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i'm, afraid, of, being"
91,Informational,What is the number for the suicide hotline?,query_crisis_resource,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"what, is, the, number"
92,Emotional Venting,This whole semester has been a disaster.,vent_academic,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"this, whole, semester, has"
93,Support Seeking,I feel like I'm losing my mind.,sanity_check,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, like, i'm"
94,Informational,Can caffeine make anxiety worse?,query_diet,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"can, caffeine, make, anxiety"
95,Crisis,Please tell my mom I love her.,crisis_note,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"please, tell, my, mom"
96,Support Seeking,I'm stressed about paying my tuition fees.,financial_stress,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i'm, stressed, about, paying"
97,Emotional Venting,I am so angry at the world right now.,vent_general_anger,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"i, am, so, angry"
98,Support Seeking,I feel like crying but the tears won't come out.,emotional_block,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, like, crying"
99,Informational,How do I request a leave of absence for mental health?,query_admin,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"how, do, i, request"
100,Crisis,There is no other way out for me.,crisis_determination,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"there, is, no, other"
101,Support Seeking,I'm worried I'll never find love.,relationship_anxiety,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i'm, worried, i'll, never"
102,Emotional Venting,I hate how much time I waste on my phone.,vent_addiction,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"i, hate, how, much"
103,Informational,What is the difference between a psychologist and psychiatrist?,query_education,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"what, is, the, difference"
104,Support Seeking,I feel numb and disconnected from reality.,dissociation,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, numb, and"
105,Crisis,I'm holding a knife.,crisis_selfharm_weapon,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"i'm, holding, a, knife."
106,Informational,Can dehydration cause anxiety symptoms?,query_physical_health,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"can, dehydration, cause, anxiety"
107,Support Seeking,I feel paralyzed when I have to make a decision.,decision_paralysis,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, paralyzed, when"
108,Emotional Venting,I'm so sick of people telling me to just be happy.,vent_toxic_positivity,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"i'm, so, sick, of"
109,Crisis,I'm going to jump off the bridge tonight.,crisis_suicide_plan,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"i'm, going, to, jump"
110,Support Seeking,I'm worried I'm annoying my friends with my problems.,fear_being_burden,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i'm, worried, i'm, annoying"
111,Informational,How do I know if I'm having a panic attack or heart attack?,query_symptoms_diff,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"how, do, i, know"
112,Emotional Venting,My professor embarrassed me in front of the whole class.,vent_humiliation,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"my, professor, embarrassed, me"
113,Support Seeking,I feel like I'm wasting my parents' money being here.,guilt_financial,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, like, i'm"
114,Crisis,I have a gun.,crisis_weapon,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"i, have, a, gun."
115,Informational,Are there counselors available on weekends?,query_availability,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"are, there, counselors, available"
116,Support Seeking,I can't stop crying over a small mistake I made.,emotional_fragility,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, can't, stop, crying"
117,Emotional Venting,I hate my roommate they never clean up!,vent_roommate,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"i, hate, my, roommate"
118,Support Seeking,I feel so ugly compared to everyone on Instagram.,body_image_issue,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, so, ugly"
119,Crisis,I'm writing my suicide note right now.,crisis_note,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"i'm, writing, my, suicide"
120,Informational,What is the difference between stress and burnout?,query_education,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"what, is, the, difference"
121,Support Seeking,I'm scared to go to class because I haven't done the work.,avoidance_anxiety,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i'm, scared, to, go"
122,Emotional Venting,Why does bad stuff only happen to me?,vent_victimhood,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"why, does, bad, stuff"
123,Crisis,I just took a handful of pills.,crisis_overdose_active,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"i, just, took, a"
124,Support Seeking,I feel like an imposter in my major.,imposter_syndrome,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, like, an"
125,Informational,Can I bring a friend to my counseling session?,query_policy,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"can, i, bring, a"
126,Emotional Venting,I'm so angry I could punch a wall.,vent_aggression,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"i'm, so, angry, i"
127,Support Seeking,I miss my ex so much it hurts physically.,heartbreak,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, miss, my, ex"
128,Crisis,Please help the voices are getting louder.,crisis_psychosis,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"please, help, the, voices"
129,Informational,Is therapy confidential if I'm under 18?,query_legal,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"is, therapy, confidential, if"
130,Support Seeking,I feel tense and my jaw hurts from clenching it.,physical_stress,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, tense, and"
131,Emotional Venting,I'm tired of being the strong one for everyone else.,vent_emotional_labor,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"i'm, tired, of, being"
132,Crisis,I'm standing on the train tracks.,crisis_location_danger,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"i'm, standing, on, the"
133,Support Seeking,I'm scared of failing this semester.,academic_fear,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i'm, scared, of, failing"
134,Informational,How do I switch counselors if I don't like mine?,query_procedure,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"how, do, i, switch"
135,Emotional Venting,This weather is making me so depressed.,vent_seasonal,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"this, weather, is, making"
136,Support Seeking,I feel like everyone hates me secretly.,paranoia_social,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, like, everyone"
137,Crisis,I don't want to exist anymore.,crisis_passive_suicidal,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"i, don't, want, to"
138,Informational,What are the signs of an eating disorder?,query_symptoms,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"what, are, the, signs"
139,Support Seeking,I'm overwhelmed by the amount of reading I have to do.,stress_workload,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i'm, overwhelmed, by, the"
140,Emotional Venting,I wish I could just sleep for a hundred years.,vent_escapism,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"i, wish, i, could"
141,Crisis,I'm bleeding and I can't stop.,crisis_medical,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"i'm, bleeding, and, i"
142,Support Seeking,I feel so awkward in social situations.,social_awkwardness,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, so, awkward"
143,Informational,Do you provide help for substance abuse?,query_addiction,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"do, you, provide, help"
144,Emotional Venting,Stop asking me if I'm okay!,vent_defensive,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"stop, asking, me, if"
145,Support Seeking,I'm afraid of graduating and leaving university.,change_anxiety,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i'm, afraid, of, graduating"
146,Crisis,I'm going to crash my car.,crisis_reckless,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"i'm, going, to, crash"
147,Informational,How long does it take for medication to work?,query_medication,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"how, long, does, it"
148,Support Seeking,I feel like a failure because I got a C.,perfectionism,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, like, a"
149,Emotional Venting,I hate how lonely this campus is.,vent_environment,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"i, hate, how, lonely"
150,Crisis,No one will miss me if I'm gone.,crisis_hopeless,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"no, one, will, miss"
151,Support Seeking,I can't focus on anything today.,focus_issue,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, can't, focus, on"
152,Informational,Is there a limit to how many sessions I can have?,query_policy,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"is, there, a, limit"
153,Emotional Venting,I'm done trying to please everyone.,vent_people_pleasing,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"i'm, done, trying, to"
154,Support Seeking,I feel shaky and sweaty before exams.,test_anxiety,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, shaky, and"
155,Crisis,This is my last message Goodbye.,crisis_finality,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"this, is, my, last"
156,Informational,What are the early signs of depression?,query_symptoms,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"what, are, the, early"
157,Support Seeking,I feel really overwhelmed with my semester exams.,stress_academic,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, really, overwhelmed"
158,Emotional Venting,I hate how my professor treats me in class!,vent_anger,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"i, hate, how, my"
